"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"
"CHEMBL50498"	"MERIDIANIN A"	"0"	"226.24"	"0"	"1.91"	"2"	"Nc1nccc(-c2c[nH]c3cccc(O)c23)n1"	"IC50"	"'='"	"3100.0"	"nM"	"5.51"	""	""	"UO_0000065"	"24.35"	"0.44"	"3.60"	"6.27"	"0"	"CHEMBL1831557"	"Inhibition of human recombinant CDK2/cyclin A expressed in insect cells assessed as histone phosphorylation using [33P]gamma-ATP after 30 mins by scintillation counting"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1828602"	"1"	"Scientific Literature"	"Bioorg. Med. Chem."	"2011"	"None"	""
"CHEMBL1271018"	""	"0"	"334.38"	"0"	"1.69"	"9"	"Cn1cc(C(N)=O)c2c1-c1nc(NCc3ccncc3)ncc1CC2"	"IC50"	"'='"	"20.99"	"nM"	"7.68"	""	""	"UO_0000065"	"22.96"	"0.42"	"5.99"	"7.78"	"0"	"CHEMBL1273937"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268905"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1271225"	""	"0"	"356.43"	"0"	"0.42"	"12"	"Cn1cc(C(N)=O)c2c1-c1nc(NCCN3CCOCC3)ncc1CC2"	"IC50"	"'='"	"208.93"	"nM"	"6.68"	""	""	"UO_0000065"	"18.74"	"0.35"	"6.26"	"6.80"	"0"	"CHEMBL1273937"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268905"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL116047"	""	"0"	"306.16"	"0"	"3.30"	"14"	"O=C(Nc1cc(C2CC2)[nH]n1)c1ccccc1Br"	"IC50"	"'='"	"1500.0"	"nM"	"5.82"	""	""	"UO_0000065"	"19.02"	"0.44"	"2.52"	"10.08"	"0"	"CHEMBL658020"	"In vitro inhibitory concentration against cyclin-dependent kinase 2-cyclin A complex using ATP/P33gamma-ATP mix as radioligand"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1148336"	"1"	"Scientific Literature"	"J. Med. Chem."	"2004"	"None"	""
"CHEMBL603249"	""	"0"	"449.48"	"0"	"3.60"	"22"	"CN1CCC(C(=O)N2Cc3c(NC(=O)c4ccc(C(F)(F)F)cc4)n[nH]c3C2(C)C)CC1"	"IC50"	"'='"	"26.0"	"nM"	"7.58"	""	""	"UO_0000065"	"16.88"	"0.32"	"3.99"	"9.33"	"0"	"CHEMBL1074419"	"Inhibition of human CDK2/cyclin A expressed in Escherichia coli BL21 by scintillation proximity assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1157586"	"1"	"Scientific Literature"	"Bioorg. Med. Chem."	"2010"	"None"	""
"CHEMBL604714"	""	"0"	"430.48"	"0"	"1.58"	"14"	"CC1(C)c2[nH]nc(NC(=O)c3ccc(F)cc3)c2CN1C(=O)N1CCN(CCO)CC1"	"IC50"	"'='"	"60.0"	"nM"	"7.22"	""	""	"UO_0000065"	"16.78"	"0.32"	"5.64"	"6.89"	"0"	"CHEMBL1074419"	"Inhibition of human CDK2/cyclin A expressed in Escherichia coli BL21 by scintillation proximity assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1157586"	"1"	"Scientific Literature"	"Bioorg. Med. Chem."	"2010"	"None"	""
"CHEMBL341273"	""	"0"	"357.85"	"0"	"4.71"	"15"	"Clc1cccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)c1"	"IC50"	"'='"	"2300.0"	"nM"	"5.64"	""	""	"UO_0000065"	"15.76"	"0.31"	"0.93"	"7.45"	"0"	"CHEMBL662528"	"Inhibition of cyclin-dependent kinase 2-cyclin A3 (CDK2)"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1138832"	"1"	"Scientific Literature"	"J. Med. Chem."	"2004"	"None"	""
"CHEMBL1643214"	""	"0"	"367.46"	"0"	"1.84"	"9h"	"COC/C=C/c1c(C2CCCNC2)nc2c(-c3cnn(C)c3)cnn2c1N"	"IC50"	"'='"	"2200.0"	"nM"	"5.66"	""	""	"UO_0000065"	"15.40"	"0.29"	"3.82"	"5.94"	"0"	"CHEMBL1647911"	"Inhibition of recombinant CDK2/Cyclin A expressed in insect Sf9 cells assessed as inhibition of [33P]-ATP incorporation into biotinylated histone H1 after 1 hr by liquid scintillation counting"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1641419"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2011"	"CHEMBL3308860"	""
"CHEMBL1269112"	""	"0"	"243.31"	"0"	"2.53"	"33"	"Cc1n[nH]cc1-c1ccnc(NC2CCCC2)n1"	"IC50"	"'='"	"1833.0"	"nM"	"5.74"	""	""	"UO_0000065"	"23.58"	"0.44"	"3.21"	"8.63"	"0"	"CHEMBL1273631"	"Inhibition of human CDK2/cyclin A after 2 hrs by IMAP-FP assay"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1269009"	"1"	"Scientific Literature"	"J. Med. Chem."	"2010"	"None"	""
"CHEMBL1086152"	""	"0"	"489.55"	"0"	"4.40"	"4a"	"Cc1ccc(NC(=O)c2c(C)nc(S(=O)(=O)Cc3ccccc3)nc2-c2ccc(O)cc2O)cc1"	"IC50"	"'='"	"48300.0"	"nM"	"4.32"	""	""	"UO_0000065"	"8.82"	"0.17"	"-0.08"	"3.33"	"0"	"CHEMBL1103280"	"Inhibition of human recombinant CDK2/cyclin A expressed in baculovirus-infected insect Sf21 cells after 10 mins"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf21"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1154872"	"1"	"Scientific Literature"	"Eur. J. Med. Chem."	"2010"	"CHEMBL4106362"	""
"CHEMBL1083817"	""	"0"	"476.45"	"0"	"3.14"	"6a"	"CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(N/N=C/c2ccco2)=N1"	"IC50"	"'='"	"3800.0"	"nM"	"5.42"	""	""	"UO_0000065"	"11.38"	"0.21"	"2.28"	"3.10"	"0"	"CHEMBL1103280"	"Inhibition of human recombinant CDK2/cyclin A expressed in baculovirus-infected insect Sf21 cells after 10 mins"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf21"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1154872"	"1"	"Scientific Literature"	"Eur. J. Med. Chem."	"2010"	"CHEMBL4106362"	""
"CHEMBL1270918"	""	"0"	"411.49"	"0"	"1.70"	"6"	"Cn1cc(C(N)=O)c2c1-c1nc(NCc3ccc(S(C)(=O)=O)cc3)ncc1CC2"	"IC50"	"'='"	"38.02"	"nM"	"7.42"	""	""	"UO_0000065"	"18.03"	"0.35"	"5.72"	"6.18"	"0"	"CHEMBL1273937"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268905"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1271435"	""	"0"	"341.42"	"0"	"2.40"	"17"	"CN(O)C(=O)c1cn(C)c2c1CCc1cnc(NC3CCCC3)nc1-2"	"IC50"	"'='"	"174.98"	"nM"	"6.76"	""	""	"UO_0000065"	"19.79"	"0.37"	"4.36"	"8.11"	"0"	"CHEMBL1273937"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268905"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1270116"	""	"0"	"452.54"	"0"	"2.13"	"23"	"NC(=O)c1cn(-c2ccc(S(N)(=O)=O)cc2)c2c1CCc1cnc(NC3CCCC3)nc1-2"	"IC50"	"'='"	"5.0"	"nM"	"8.30"	""	""	"UO_0000065"	"18.34"	"0.35"	"6.17"	"5.69"	"0"	"CHEMBL1273937"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268905"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1270615"	""	"0"	"418.55"	"0"	"3.48"	"65"	"CNC(=O)c1cn(C)c2c1C(C)(C)Cc1cnc(Nc3cccc(CN(C)C)c3)nc1-2"	"IC50"	"'='"	"82.99"	"nM"	"7.08"	""	""	"UO_0000065"	"16.92"	"0.31"	"3.60"	"9.43"	"0"	"CHEMBL1273937"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268905"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL119041"	""	"0"	"402.30"	"0"	"4.62"	"42"	"O=C(NOC1CCCCO1)Nc1csc(Cc2c(Cl)cccc2Cl)n1"	"IC50"	"'='"	"90000.0"	"nM"	"4.05"	""	""	"UO_0000065"	"10.06"	"0.22"	"-0.57"	"5.58"	"0"	"CHEMBL657263"	"Ability to inhibit cyclin-dependent kinase 2-cyclin A."	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1136288"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2003"	"None"	""
"CHEMBL1270815"	""	"0"	"412.29"	"0"	"3.05"	"4"	"Cn1cc(C(N)=O)c2c1-c1nc(NCc3ccc(Br)cc3)ncc1CC2"	"IC50"	"'='"	"80.91"	"nM"	"7.09"	""	""	"UO_0000065"	"17.20"	"0.37"	"4.04"	"8.26"	"0"	"CHEMBL1273937"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268905"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1270319"	""	"0"	"422.53"	"0"	"2.68"	"28"	"CC(=O)N1CCC(n2cc(C(N)=O)c3c2-c2nc(NC4CCCC4)ncc2CC3)CC1"	"IC50"	"'='"	"6.998"	"nM"	"8.15"	""	""	"UO_0000065"	"19.30"	"0.36"	"5.48"	"7.68"	"0"	"CHEMBL1273937"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268905"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1270009"	""	"0"	"374.45"	"0"	"2.88"	"21"	"NC(=O)c1cn(-c2ccccn2)c2c1CCc1cnc(NC3CCCC3)nc1-2"	"IC50"	"'='"	"52.0"	"nM"	"7.28"	""	""	"UO_0000065"	"19.45"	"0.36"	"4.40"	"7.38"	"0"	"CHEMBL1273937"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268905"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1270419"	""	"0"	"368.44"	"0"	"1.10"	"30"	"CC(=O)N1CCC(Nc2ncc3c(n2)-c2c(c(C(N)=O)cn2C)CC3)CC1"	"IC50"	"'='"	"2.0"	"nM"	"8.70"	""	""	"UO_0000065"	"23.61"	"0.44"	"7.60"	"8.20"	"0"	"CHEMBL1273937"	"Inhibition of CDK2/cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268905"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1269488"	""	"0"	"600.61"	"1"	"1.86"	"18"	"Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCN(C(=O)N5CCNCC5)CC4)ccc3OC(F)(F)F)ncc1CC2"	"IC50"	"'='"	"622.0"	"nM"	"6.21"	""	""	"UO_0000065"	"10.33"	"0.20"	"4.35"	"4.23"	"0"	"CHEMBL1272698"	"Inhibition of CDK2/Cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268971"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1272089"	""	"0"	"404.35"	"0"	"2.72"	"1"	"Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3OC(F)(F)F)ncc1CC2"	"IC50"	"'='"	"1762.0"	"nM"	"5.75"	""	""	"UO_0000065"	"14.23"	"0.27"	"3.03"	"5.33"	"0"	"CHEMBL1272698"	"Inhibition of CDK2/Cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268971"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1793895"	""	"0"	"550.97"	"1"	"3.17"	"28"	"CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCCl)CC4)c2)CC1"	"IC50"	"'='"	"2010.0"	"nM"	"5.70"	""	""	"UO_0000065"	"10.34"	"0.20"	"2.53"	"4.98"	"0"	"CHEMBL1272698"	"Inhibition of CDK2/Cyclin A"	"B"	"BAO_0000223"	"protein complex format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094128"	"Cyclin-dependent kinase 2/cyclin A"	"Homo sapiens"	"PROTEIN COMPLEX"	"CHEMBL1268971"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
